Timestamp,ElectricPower,IrradianceGlobal,Temperature
2021-09-22T13:15:00Z,395.4,,
2021-09-22T13:30:00Z,387.4,584.1,24.6
2021-09-22T13:45:00Z,390.6,560.9,24.6
2021-09-22T14:00:00Z,355,533.9,24.5
2021-09-22T14:15:00Z,335,496.6,25.1
2021-09-22T14:30:00Z,330.4,462.7,24.9
2021-09-22T14:45:00Z,294.8,433.7,25
2021-09-22T15:00:00Z,285.8,402.9,25
2021-09-22T15:15:00Z,245.4,372.4,25.7
2021-09-22T15:30:00Z,201.4,335.4,25.4
2021-09-22T15:45:00Z,175.8,294.5,25.5
2021-09-22T16:00:00Z,140,251.5,25.5
2021-09-22T16:15:00Z,108.8,210.8,25.1
2021-09-22T16:30:00Z,75,168.7,25.1
2021-09-22T16:45:00Z,50.6,128.6,24.8
2021-09-22T17:00:00Z,18.6,93.9,24.2
2021-09-22T17:15:00Z,7,55.8,23.6
2021-09-22T17:30:00Z,1,21.7,23.1
2021-09-22T17:45:00Z,0,6.1,22.7
2021-09-22T18:00:00Z,0,1.3,22.3
2021-09-22T18:15:00Z,0,0,22.1
2021-09-22T18:30:00Z,0,0,21.8
2021-09-22T18:45:00Z,0,0,21.3
2021-09-22T19:00:00Z,0,0,21
2021-09-22T19:15:00Z,0,0,20.8
2021-09-22T19:30:00Z,0,0,20.7
2021-09-22T19:45:00Z,0,0,20.5
2021-09-22T20:00:00Z,0,0,20.4
2021-09-22T20:15:00Z,0,0,20.5
2021-09-22T20:30:00Z,0,0,20.7
2021-09-22T20:45:00Z,0,0,20.3
2021-09-22T21:00:00Z,0,0,20.2
2021-09-22T21:15:00Z,0,0,20.4
2021-09-22T21:30:00Z,0,0,20.3
2021-09-22T21:45:00Z,0,0,20.3
2021-09-22T22:00:00Z,0,0,20.2
2021-09-22T22:15:00Z,0,0,20.2
2021-09-22T22:30:00Z,0,0,20.2
2021-09-22T22:45:00Z,0,0,20.2
2021-09-22T23:00:00Z,0,0,20.1
2021-09-22T23:15:00Z,0,0,19.9
2021-09-22T23:30:00Z,0,0,19.7
2021-09-22T23:45:00Z,0,0,19.5
2021-09-23T00:00:00Z,0,0,19.2
2021-09-23T00:15:00Z,0,0,19
2021-09-23T00:30:00Z,0,0,18.8
2021-09-23T00:45:00Z,0,0,18.7
2021-09-23T01:00:00Z,0,0,18.7
2021-09-23T01:15:00Z,0,0,18.8
2021-09-23T01:30:00Z,0,0,18.8
2021-09-23T01:45:00Z,0,0,18.9
2021-09-23T02:00:00Z,0,0,18.8
2021-09-23T02:15:00Z,0,0,18.7
2021-09-23T02:30:00Z,0,0,18.4
2021-09-23T02:45:00Z,0,0,18.3
2021-09-23T03:00:00Z,0,0,18.1
2021-09-23T03:15:00Z,0,0,18
2021-09-23T03:30:00Z,0,0,17.7
2021-09-23T03:45:00Z,0,0,17.7
2021-09-23T04:00:00Z,0,0,17.6
2021-09-23T04:15:00Z,0,0,17.6
2021-09-23T04:30:00Z,0,0,17.6
2021-09-23T04:45:00Z,0,0,17.8
2021-09-23T05:00:00Z,0,0,17.6
2021-09-23T05:15:00Z,0,0,17.7
2021-09-23T05:30:00Z,2.2,0.1,17.7
2021-09-23T05:45:00Z,1,2,17.7
2021-09-23T06:00:00Z,5.8,7.1,17.7
2021-09-23T06:15:00Z,11.6,15.2,17.7
2021-09-23T06:30:00Z,16.8,27.8,17.8
2021-09-23T06:45:00Z,18,37.3,17.8
2021-09-23T07:00:00Z,19.4,42.1,18
2021-09-23T07:15:00Z,20.6,40.8,17.9
2021-09-23T07:30:00Z,23.4,46.3,18.1
2021-09-23T07:45:00Z,30,49.5,18.2
2021-09-23T08:00:00Z,49.4,59.6,18.2
2021-09-23T08:15:00Z,77.2,94,18.3
2021-09-23T08:30:00Z,83,148.2,18.4
2021-09-23T08:45:00Z,103.8,172.2,18.6
2021-09-23T09:00:00Z,121.6,200.5,18.9
2021-09-23T09:15:00Z,158.8,241.7,19.1
2021-09-23T09:30:00Z,195.4,302.9,19.3
2021-09-23T09:45:00Z,214.8,331,19.7
2021-09-23T10:00:00Z,323.8,383.9,20.1
2021-09-23T10:15:00Z,292.4,505.8,20.2
2021-09-23T10:30:00Z,417.2,452,20.7
2021-09-23T10:45:00Z,380.4,591.7,21.1
2021-09-23T11:00:00Z,385.8,626.8,21.6
2021-09-23T11:15:00Z,420,632.5,21.7
2021-09-23T11:30:00Z,408.2,650,22
2021-09-23T11:45:00Z,425.2,660.3,21.7
2021-09-23T12:00:00Z,403.6,657,22.1
2021-09-23T12:15:00Z,425,641,22.7
2021-09-23T12:30:00Z,402.2,641.5,22.9
2021-09-23T12:45:00Z,405,626,23.3
2021-09-23T13:00:00Z,407,627,23.3
2021-09-23T13:15:00Z,306.8,632.2,23.5
2021-09-23T13:30:00Z,392.4,443.1,23.4
2021-09-23T13:45:00Z,391.4,461.1,23.2
2021-09-23T14:00:00Z,351,575.5,23.5
2021-09-23T14:15:00Z,306.4,568.9,24.5
2021-09-23T14:30:00Z,294.6,503.7,24.5
2021-09-23T14:45:00Z,140.6,467,24.4
2021-09-23T15:00:00Z,102.4,273.8,24
2021-09-23T15:15:00Z,181.2,183,23.6
2021-09-23T15:30:00Z,149,257.5,23.7
2021-09-23T15:45:00Z,137,250.3,24.1
